service,environment,username,secret_key,notes
db,uat,etl-user,AKIAlUJW0gHWw1pCXrfb,rotate
salesforce,prod,integration-user,00Dny8U22ACQYDf!AQ0AQuQrjP6Mc7SwD2Yj22SRzIGWdJqtS60kgDzRkWqOpeenaMjEdB3yd7OVjh7r5ZKVAq,in-use
db,prod,svc-app,xoxb-58343836994-61180843390-PbXrMKGjP1D4LnvOkkIp3iQH,in-use
azure,dev,integration-user,AKIAyE6Q7HGKpnQ0TVlM,rotate
github,prod,svc-app,3MVG9rYUqdw2Ca1T2JYHCiTuJuM7lpqP7UJUSp2THpmBGmOuGu3kMY5LvUe7HuMevEzi9lmc,in-use
azure,dev,api-gateway,DefaultEndpointsProtocol=https;AccountName=xdsi4cqp3l;AccountKey=LM4qAmOEL2F5WWh0mC14KKgEJbuJ0BgFTEeoAYltEr9ajihZ==;EndpointSuffix=core.windows.net,in-use
salesforce,dev,build-agent,AbDMtQK9EVfzvFOpRmy7,rotate
azure,sit,api-gateway,xoxb-73328586826-00757233850-DPyZ000TMiTKe20O3Dt2CD1k,in-use
salesforce,sit,build-agent,g9gIl9ZvgEfWjNtlCNnt,in-use
azure,dev,build-agent,AIzaMytqbuKEIn2kE7faCAvcwZaO1bHzvkjsZNj,rotate
db,prod,api-gateway,ghp_G8s8deziuIoS0G3QQ3ueJjLrxnbKT5bEO4nw,in-use
github,dev,api-gateway,-----BEGIN PRIVATE KEY-----\nFAKE-NOT-A-REAL-KEY-AaTkJElIkpbqyMhvfDr0cN92X0FwlATPLzakbJ7G6RCdtz7u\n-----END PRIVATE KEY-----,rotate
salesforce,sit,integration-user,3MVG9IuaXk4Jb1IbOIKzSrjYIoInkwyWsmLSAFMhpfVD4RWLwuBtWGwBv5eXY9DZ2pJJQa38,rotate
db,sit,etl-user,5AepU3aoNOiFHSXQ9TbNiAVbZr2YxKOEQCliIlND5TjBu90D1FPbSRnLBT7ln4VOB2Kfd2gDtRSVNEab54km0VIreyLEOpIo,rotate
azure,prod,integration-user,5AepqbpSBAGEKnLe4H7qxEqF123f3gYDL4XVLpGm3pjbuBj5QRCxz4p2SXVkRgGinwyK6HrimsdZ1XiUKjn4pIagbwtO7Gye,in-use
github,dev,api-gateway,3MVG9yENAT9WmuQ4ZbgFzv0ksimqzsjj4y9J7Uvemosq6BTUoRJzpI8h7aqvMEz0NWdM4bW5,in-use
aws,dev,svc-app,5Aep5fOA8Xl1CINzqIVqD4nmovTj6I77Px01qft8l0B8tsea3eKx6oztPCV65ChuGr7VVFsagZwikb3AzGRgGVxvpmohXZZB,in-use
aws,dev,api-gateway,AIzaBlwoze4fDVDZHaCiM0mkwj7G9wtUESaDQCY,in-use
azure,sit,integration-user,AIzacr52yHefGdxv5N1BIcTzcHlIOrLx1tgLqrM,rotate
slack,uat,api-gateway,ghp_PdHJDR3vGouhqLf4IoHKlGMIwFSJ2CmQTMxG,in-use
db,dev,api-gateway,5Aep9Bi60nQNGIYU95Ghuhfr5PX5haj2woJ9NVGRni1TB7PHB8bSCywaM2DOkzgMRRdX4RWOLSpTAQoRQS7fITneVbT2khpe,in-use
salesforce,uat,integration-user,09JOp94aSHpsKpiW2ijT9U88YK1BixmFMfj2blnDNZQ1bX9WmrCp1yjKmfKvNP35,in-use
db,dev,svc-app,xoxb-76543973721-62879581332-oafPoJun8liPwZakGFOHnyu1,in-use
